Date,Category,Description,Amount,Payment Method,Type
2024-01-01,Salary,Monthly salary,55000,Net Banking,Income
2024-01-02,Food,Lunch,350,UPI,Expense
2024-01-03,Transport,Uber ride,250,Card,Expense
2024-01-04,Food,Groceries,1200,Cash,Expense
2024-01-05,Bills,Electricity bill,1800,Net Banking,Expense
2024-01-06,Entertainment,Movie tickets,600,Card,Expense
2024-01-07,Health,Gym membership,500,Card,Expense
2024-01-08,Shopping,Clothes,2500,Card,Expense
2024-01-09,Food,Dinner,450,UPI,Expense
2024-01-10,Transport,Petrol,800,Card,Expense
2024-01-11,Bills,Internet bill,800,Net Banking,Expense
2024-01-12,Food,Coffee,150,Cash,Expense
2024-01-13,Entertainment,Gaming,800,Card,Expense
2024-01-14,Health,Doctor visit,2000,Cash,Expense
2024-01-15,Rent,Monthly rent,15000,Net Banking,Expense
2024-01-16,Food,Lunch delivery,400,UPI,Expense
2024-01-17,Transport,Taxi,300,UPI,Expense
2024-01-18,Shopping,Books,1500,Card,Expense
2024-01-19,Education,Course fee,5000,Net Banking,Expense
2024-01-20,Food,Groceries,1500,Cash,Expense
2024-01-21,Entertainment,Concert ticket,2000,Card,Expense
2024-01-22,Health,Medicine,800,Cash,Expense
2024-01-23,Bills,Water bill,400,Net Banking,Expense
2024-01-24,Food,Restaurant,800,Card,Expense
2024-01-25,Transport,Metro pass,500,Card,Expense
2024-01-26,Shopping,Gadgets,4000,Card,Expense
2024-01-27,Food,Lunch,300,UPI,Expense
2024-01-28,Entertainment,Streaming subscription,499,Card,Expense
2024-01-29,Health,Dental cleaning,3000,Cash,Expense
2024-01-30,Food,Dinner,600,UPI,Expense
2024-02-01,Salary,Monthly salary,55000,Net Banking,Income
2024-02-02,Food,Breakfast,200,Cash,Expense
2024-02-03,Transport,Uber pool,150,UPI,Expense
2024-02-04,Bills,Electricity bill,2000,Net Banking,Expense
2024-02-05,Food,Groceries,1800,Cash,Expense
2024-02-06,Entertainment,Movie,500,Card,Expense
2024-02-07,Health,Gym,500,Card,Expense
2024-02-08,Shopping,Shoes,2000,Card,Expense
2024-02-09,Food,Lunch,350,UPI,Expense
2024-02-10,Rent,Monthly rent,15000,Net Banking,Expense
2024-02-11,Transport,Petrol,1000,Card,Expense
2024-02-12,Bills,Internet bill,800,Net Banking,Expense
2024-02-13,Food,Coffee,120,Cash,Expense
2024-02-14,Entertainment,Date night,1500,Card,Expense
2024-02-15,Health,Doctor appointment,1500,Cash,Expense
2024-02-16,Food,Dinner delivery,600,UPI,Expense
2024-02-17,Shopping,Gifts,2500,Card,Expense
2024-02-18,Education,Books,1200,Card,Expense
2024-02-19,Transport,Taxi,400,UPI,Expense
2024-02-20,Food,Restaurant,1000,Card,Expense
2024-02-21,Entertainment,Gaming purchase,1200,Card,Expense
2024-02-22,Health,Medicine,600,Cash,Expense
2024-02-23,Bills,Mobile bill,499,Card,Expense
2024-02-24,Food,Lunch,280,UPI,Expense
2024-02-25,Transport,Auto rickshaw,200,Cash,Expense
2024-02-26,Shopping,Electronics,5000,Card,Expense
2024-02-27,Food,Groceries,1400,Cash,Expense
2024-02-28,Entertainment,Concert,2500,Card,Expense
2024-03-01,Salary,Monthly salary,55000,Net Banking,Income
2024-03-02,Food,Lunch,320,UPI,Expense
2024-03-03,Transport,Uber,280,Card,Expense
2024-03-04,Bills,Electricity,1900,Net Banking,Expense
2024-03-05,Food,Groceries,1600,Cash,Expense
2024-03-06,Entertainment,Movies,800,Card,Expense
2024-03-07,Health,Yoga class,400,Card,Expense
2024-03-08,Shopping,Dress,1800,Card,Expense
2024-03-09,Food,Lunch delivery,400,UPI,Expense
2024-03-10,Rent,Monthly rent,15000,Net Banking,Expense
2024-03-11,Transport,Petrol,900,Card,Expense
2024-03-12,Bills,Internet,800,Net Banking,Expense
2024-03-13,Food,Coffee,130,Cash,Expense
2024-03-14,Entertainment,Gaming,700,Card,Expense
2024-03-15,Health,Doctor,2500,Cash,Expense
2024-03-16,Food,Dinner,700,UPI,Expense
2024-03-17,Shopping,Gadgets,3500,Card,Expense
2024-03-18,Education,Course,4000,Net Banking,Expense
2024-03-19,Transport,Taxi,350,UPI,Expense
2024-03-20,Food,Restaurant,950,Card,Expense
